"","subunit_ID","p_wg_a.Low","p_wg_b.Med","p_wg_c.High","p_st_a.Low","p_st_b.Med","p_st_c.High","p_noFood"
"39","KRN_5A_5A-1",0,0,0,0.361416577923173,0.0305282590386643,0,0.608055163038163
"40","KRN_5A_5A-3",0,0,0,0.359997820657683,0.098146197495177,0,0.54185598184714
"41","KRN_5A_5A-4",0,0,0,0.263021419759034,0.0505398240569573,0.000318585608982279,0.686120170575026
"42","KRN_5A_5A-5",0.000672332556949537,0,0,0.150224110852317,0.0670423109053827,0.00201699767084861,0.780044248014503
"43","KRN_5A_5A-7",0,0,0,0.507525943489902,0.124513946635765,0.00122058999145952,0.366739519882873
"44","KRN_5B_5B-1",0,0,0,0.239558594225475,0.342181330770245,0.142691015957833,0.275569059046447
"45","KRN_5B_5B-2",0,0,0,0.167428667534948,0.265781980919156,0,0.566789351545896
"46","KRN_5B_5B-3",0,0,0,0.14384920139805,0.223666625608645,0.0708237325202394,0.561660440473065
"47","KRN_5B_5B-5",0,0,0,0.155544275069841,0.0897708361015613,0.00248516385841567,0.752199724970183
"48","KRN_5B_5B-6",0,0,0,0.157873906330182,0.237917417337733,0.0903018672968294,0.513906809035256
"49","KRN_5B_5B-7",0,0,0,0.194177623110932,0.339628891166348,0.289992789721914,0.176200696000806
"50","KRN_6A_6A-1",0,0,0,0.0822227323441675,0.209548739286218,0.0845209680820924,0.623707560287522
"51","KRN_6A_6A-2",0,0,0,0.17188806695881,0.148186167406272,0.0664588766204751,0.613466889014442
"52","KRN_6A_6A-4",0,0,0,0.146202806731616,0.148874100213538,0.12147903757919,0.583444055475656
"53","KRN_6A_6A-5",0,0,0,0.248901651016994,0.223287582744262,0.0927632466414334,0.435047519597311
"54","PIX_1_1",0,0,0,0.128318099581069,0.138530915534697,0.056740680094988,0.676410304789246
"55","PIX_2_2",0.0259731931753542,0.0469947583498348,0.0208664213570808,0.366240860674388,0.349416012959525,0.161385264954386,0.0291234885294314
"56","PIX_2A_2A",0,0,0,0.103643656855491,0.144534514716763,0.0445345147167631,0.707287313710982
"57","PIX_3_3",0.0237239909693501,0.051410681782894,0.0421944226415883,0.37757658450465,0.3025811544835,0.164670266115363,0.0378428995026556
"58","PIX_3A_3A",0.00034396451205642,0.126994184782284,0.0677011780049062,0.134154530236553,0.265510314443012,0.372773078236486,0.0325227497847031
"59","PIX_4_4",0.0443272373698785,0.0884330392231259,0,0.489780750907479,0.179326780624814,0.133543604733087,0.0645885871416165
"60","PIX_4A_4A",0.0698739078974954,0.0711433912369543,0.0493303123820294,0.415063007008302,0.188210295374719,0.15861607240923,0.0477630136912698
"61","PIX_6_6",0,0,0,0.096788037234567,0.0772745771567393,0.0387927296553263,0.787144655953367
"62","PIX_7A_7A",0,0,0,0.438365990875503,0.194521127665382,0.0479062174316907,0.319206664027424
"63","PIX_7B_7B",0,0,0,0.616067294957234,0.236872694731918,0.0969660345007896,0.0500939758100591
"64","PIX_8A_8A",0,0,0,0.524173468004853,0.28614206388272,0.141743499922918,0.0479409681895093
"65","PIX_8B_8B",0,0,0,0.247399743904198,0.580376996343376,0.0966838410326524,0.0755394187197736
"66","PIX_9A_9A",0.0476979801773771,0,0,0.384598391186737,0.291696285639824,0.24092894569895,0.0350783972971115
"67","PIX_9B_9B",0.00805033459326798,0,0,0.480072159219594,0.264919843421277,0.200637238302361,0.0463204244635004
"68","SAC_P1A_P1A:1",0.00495373955997023,0,0,0.144970735572421,0.154750809116332,0.252268799662447,0.44305591608883
"69","SAC_P7A_P7A:4",0.112269167968467,0.121181302207568,0.0939084792987352,0,0.0642265283638434,0.0183504366753838,0.590064085486003
"70","SAC_P8_P8:1",0,0,0,0.000566713741991315,0.0595159021950299,0.659894463359016,0.280022920703963
"71","SAC_T10_T10:3",0.126666536781251,0.353795816971274,0.519218922327647,0,0,0,0.000318723919827966
"72","SAC_T14_T14:1",0.144638673171515,0.507757909963918,0.346189727711121,0,0,0,0.0014136891534461
"73","SAC_T14_T14:2",0.173794761008751,0.569292332462876,0.250173492533647,0,0,0,0.00673941399472546
"74","SAC_T35_T35:1",0.237124564138901,0.362956620319191,0.0700797004157974,0,0.00058832353420934,0.0722350496109372,0.257015741980964
"75","SAC_T36_T36:1",0.0776341061599933,0.323903767184861,0.299386428133063,0,0,0.00218111072466687,0.296894587797416
"76","SAC_T36_T36:2",0.000997314890929626,0.134596673418267,0.501395166414666,0,0,0.00202028418419828,0.360990561091939
"77","SLW_Beach Lake 1_Beach Lake 1",0,0,0,0.410089816835262,0.173685902128764,0.0537939143445618,0.362430366691412
"78","SLW_Beach Lake 3_Beach Lake 3",0,0,0,0.163362424939392,0.234928142607951,0.280646668007435,0.321062764445222
"79","SLW_HQ-7_27a",0.016999292412677,0.043642801155668,0.000442048743316696,0.0560947902602335,0.0948913553493592,0.187646879351053,0.600282832727693
"80","SLW_Lewis 1_22",0.150803111183911,0.270466511680781,0.0176566612518034,0.0041858997946761,0.113089460769112,0.346811473866946,0.0969868814527701
"81","SLW_Lewis 6_22",0.255573670219587,0.196395055039613,0.390601683104271,0.0224118683065388,0.0430145621056221,0.0398853675004261,0.0521177937239415
"82","SLW_LIC_57",0.0444444444444444,0,0,0.0277777777777778,0.0887426900584795,0.191374269005848,0.64766081871345
