"","unitName","subunitName","subunit_ID","st_g_m2_a.Low","st_g_m2_b.Med","st_g_m2_c.High","wg_g_m2_a.Low","wg_g_m2_b.Med","wg_g_m2_c.High","sw_g_m2_a.Low","sw_g_m2_b.Med","sw_g_m2_c.High","LIT","wg_g_m2","st_g_m2","sw_g_m2","tot_g_m2","area_ha","tot_mass_m2_var","CI80lwr","CI80upr","st_mass_m2_var","CI80lwr_st","CI80upr_st","wg_mass_m2_var","CI80lwr_wg","CI80upr_wg","sw_mass_m2_var","CI80lwr_sw","CI80upr_sw"
"14","5A","5A-5","KRN_5A_5A-5",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,140.080502151428,0,140.080502151428,13.3660052904953,2294.47556226111,78.6933051178111,201.467699185045,2294.47556226111,78.6933051178111,201.467699185045,0,0,0,0,0,0
"15","5A","5A-6","KRN_5A_5A-6",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,250.453859478278,0,250.453859478278,14.0975762984866,3597.52426963123,173.587209893931,327.320509062626,3597.52426963123,173.587209893931,327.320509062626,0,0,0,0,0,0
"16","5A","5A-7","KRN_5A_5A-7",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,139.398284965483,0,139.398284965483,19.6328615475525,1933.71211581261,83.0433445851061,195.75322534586,1933.71211581261,83.0433445851061,195.75322534586,0,0,0,0,0,0
"17","5B","5B-1","KRN_5B_5B-1",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,9.09517261582941,0,9.09517261582941,9.22630897985094,6.66409567696205,5.78685880968088,12.4034864219779,6.66409567696205,5.78685880968088,12.4034864219779,0,0,0,0,0,0
"18","5B","5B-2","KRN_5B_5B-2",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,12.50734464646,0,12.50734464646,11.929823399624,41.8299978997243,4.21876706425217,20.7959222286678,41.8299978997243,4.21876706425217,20.7959222286678,0,0,0,0,0,0
"19","5B","5B-3","KRN_5B_5B-3",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,29.2996382869525,0,29.2996382869525,23.28715200306,179.727569875634,12.1188361386012,46.4804404353037,179.727569875634,12.1188361386012,46.4804404353037,0,0,0,0,0,0
"20","5B","5B-7","KRN_5B_5B-7",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,164.346819158677,0,164.346819158677,12.0533843873237,1508.10537154695,114.578619697789,214.115018619564,1508.10537154695,114.578619697789,214.115018619564,0,0,0,0,0,0
"21","5B","5B-8","KRN_5B_5B-8",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,127.016174282017,0,127.016174282017,19.3565400947594,3316.29388546733,53.2151158166447,200.81723274739,3316.29388546733,53.2151158166447,200.81723274739,0,0,0,0,0,0
"22","6A","6A-1","KRN_6A_6A-1",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,18.1855801127385,0,18.1855801127385,21.8238172676809,29.6858873600744,11.2030775605581,25.1680826649188,29.6858873600744,11.2030775605581,25.1680826649188,0,0,0,0,0,0
"23","6A","6A-2","KRN_6A_6A-2",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,19.3156171502678,0,19.3156171502678,20.2362273468514,25.2427107294137,12.8768298210406,25.754404479495,25.2427107294137,12.8768298210406,25.754404479495,0,0,0,0,0,0
"24","6A","6A-3","KRN_6A_6A-3",26.147784483847,102.23688088581,341.694154187541,5.66765781573169,10.1370790074825,8.24237572703909,0,20.7039335646754,45.7512909097888,"KRN",0,93.2322683991276,0,93.2322683991276,21.5880962661626,641.772347564757,60.76643275624,125.698104042015,641.772347564757,60.76643275624,125.698104042015,0,0,0,0,0,0
