"","unitName","subunitName","subunit_ID","st_g_m2_a.Low","st_g_m2_b.Med","st_g_m2_c.High","wg_g_m2_a.Low","wg_g_m2_b.Med","wg_g_m2_c.High","sw_g_m2_a.Low","sw_g_m2_b.Med","sw_g_m2_c.High","LIT","wg_g_m2","st_g_m2","sw_g_m2","stwg_g_m2","tot_g_m2","area_ha","tot_mass_m2_var","CI80lwr","CI80upr","stwg_mass_m2_var","CI80lwr_stwg","CI80upr_stwg","st_mass_m2_var","CI80lwr_st","CI80upr_st","wg_mass_m2_var","CI80lwr_wg","CI80upr_wg","sw_mass_m2_var","CI80lwr_sw","CI80upr_sw"
"11","5A","5A-1","KRN_5A_5A-1",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,10.2412631137399,0,10.2412631137399,10.2412631137399,18.7272585668674,23.7351758430023,3.99770278780175,16.4848234396781,23.7351758430023,3.99770278780175,16.4848234396781,23.7351758430023,3.99770278780175,16.4848234396781,0,0,0,0,0,0
"12","5A","5A-3","KRN_5A_5A-3",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,16.5493259549836,0,16.5493259549836,16.5493259549836,21.2158373560011,163.405988777754,0.167207189364717,32.9314447206025,163.405988777754,0.167207189364717,32.9314447206025,163.405988777754,0.167207189364717,32.9314447206025,0,0,0,0,0,0
"13","5A","5A-4","KRN_5A_5A-4",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,9.03421008563479,0,9.03421008563479,9.03421008563479,18.920803947045,57.5926015017667,-0.691457768472745,18.7598779397423,57.5926015017667,-0.691457768472745,18.7598779397423,57.5926015017667,-0.691457768472745,18.7598779397423,0,0,0,0,0,0
"14","5A","5A-5","KRN_5A_5A-5",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,140.080502151428,0,140.080502151428,140.080502151428,13.3660052904953,2307.8873528877,78.5141546762807,201.646849626576,2307.8873528877,78.5141546762807,201.646849626576,2307.8873528877,78.5141546762807,201.646849626576,0,0,0,0,0,0
"15","5A","5A-6","KRN_5A_5A-6",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,250.453859478278,0,250.453859478278,250.453859478278,14.0975762984866,3650.05124462664,173.028083549583,327.879635406974,3650.05124462664,173.028083549583,327.879635406974,3650.05124462664,173.028083549583,327.879635406974,0,0,0,0,0,0
"16","5A","5A-7","KRN_5A_5A-7",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,139.398284965483,0,139.398284965483,139.398284965483,19.6328615475525,1948.28783939538,82.8313502706413,195.965219660325,1948.28783939538,82.8313502706413,195.965219660325,1948.28783939538,82.8313502706413,195.965219660325,0,0,0,0,0,0
"17","5B","5B-1","KRN_5B_5B-1",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,9.09517261582941,0,9.09517261582941,9.09517261582941,9.22630897985094,6.68440260176826,5.78182207389983,12.408523157759,6.68440260176826,5.78182207389983,12.408523157759,6.68440260176826,5.78182207389983,12.408523157759,0,0,0,0,0,0
"18","5B","5B-2","KRN_5B_5B-2",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,12.50734464646,0,12.50734464646,12.50734464646,11.929823399624,41.7777491653207,4.22394520229038,20.7907440906296,41.7777491653207,4.22394520229038,20.7907440906296,41.7777491653207,4.22394520229038,20.7907440906296,0,0,0,0,0,0
"19","5B","5B-3","KRN_5B_5B-3",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,29.2996382869525,0,29.2996382869525,29.2996382869525,23.28715200306,178.880725495868,12.1593603744491,46.4399161994558,178.880725495868,12.1593603744491,46.4399161994558,178.880725495868,12.1593603744491,46.4399161994558,0,0,0,0,0,0
"20","5B","5B-7","KRN_5B_5B-7",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,164.346819158677,0,164.346819158677,164.346819158677,12.0533843873237,1528.64657081221,114.24083131582,214.452807001533,1528.64657081221,114.24083131582,214.452807001533,1528.64657081221,114.24083131582,214.452807001533,0,0,0,0,0,0
