Refuge,Unit,RtCI90_lwr (ton),CI90lwr (ton),Cumulative Mass (ton),Unit Mass (ton),CI90upr (ton),MOE/Mean,Cumulative Area (ha),Objective,Mass (g/m2),SE (g/m2),CI90lwr (g/m2),CI90upr (g/m2)
KRN,KRN_5B_5B-2,402.638,389.593,451.409,6.556,517.376,0.108,426.325,Pass,54.956,4.574,47.6,62.805
KRN,KRN_5B_5B-5,407.354,394.171,456.592,5.183,522.922,0.108,446.619,Pass,25.539,3.25,20.5,31.2
MDC,MDC_Duck Ponds_Duck Ponds,78.148,74.492,91.135,91.135,108.906,0.143,71.696,Pass,127.114,14.749,103.9,151.9
MDC,MDC_Upper Goose Pond_Upper Goose Pond,96.141,91.76,111.994,20.859,133.867,0.142,92.922,Pass,98.27,13.309,77.795,121.205
MDC,MDC_Gadwall_Gadwall,109.953,105.08,128.169,16.175,153.399,0.142,118.95,Pass,62.146,8.791,48.7,77.2
MDC,MDC_Flournoy Pond_Flournoy Pond,120.494,115.272,140.387,12.218,167.334,0.142,140.676,Pass,56.234,8.407,43.3,70.7
MDC,MDC_Matney 3_Matney 3,129.285,123.578,150.493,10.105,179.644,0.141,152.682,Pass,84.171,11.986,66,104.9
MDC,MDC_Matney 6_Matney 6,137.16,131.027,159.795,9.302,190.79,0.142,162.114,Pass,98.621,12.908,78.6,121.1
MDC,MDC_Matney 4 North_Matney 4 North,143.499,137.256,167.155,7.36,199.513,0.142,170.406,Pass,88.772,11.256,71.5,108.4
MDC,MDC_J Pond_J Pond,148.431,141.795,172.604,5.449,205.9,0.14,193.233,Pass,23.872,3.25,19,29.5
MDC,MDC_Matney 4 South_Matney 4 South,152.632,145.889,177.593,4.988,212.008,0.141,200.797,Pass,65.948,8.925,52,81.3
MDC,MDC_South Dam Pond_South Dam Pond,156.203,149.388,181.598,4.005,216.384,0.14,209.289,Pass,47.165,6.46,37.2,58.205
MDC,MDC_House Field_House Field,159.254,152.264,185.128,3.53,220.595,0.14,212.359,Pass,114.988,13.184,94.3,137.9
MDC,MDC_Matney 8_Matney 8,161.981,154.983,188.093,2.965,223.799,0.139,224.942,Pass,23.567,3.468,18.3,29.5
MDC,MDC_Grandma Tract 9_Grandma Tract 9,163.404,156.425,189.655,1.562,225.654,0.138,236.094,Pass,14.005,3.279,9.4,19.9
MDC,MDC_Grandma Tract 4_Grandma Tract 4,164.59,157.658,191.196,1.541,227.674,0.139,248.022,Pass,12.919,2.561,9.2,17.6
MDC,MDC_Grandma Tract 2_Grandma Tract 2,165.766,158.742,192.537,1.34,229.246,0.139,256.515,Pass,15.781,2.58,11.9,20.2
MDC,MDC_Grandma Tract 3_Grandma Tract 3,166.701,159.601,193.474,0.937,230.12,0.138,268.997,Pass,7.508,1.567,5.2,10.3
MDC,MDC_Grandma Tract 10_Grandma Tract 10,167.421,160.287,194.263,0.789,231.022,0.138,282.988,Pass,5.639,0.718,4.5,6.9
MDC,MDC_Grandma Tract 8_Grandma Tract 8,167.994,160.849,194.914,0.651,231.767,0.138,294.153,Pass,5.828,0.8,4.6,7.2
MDC,MDC_Grandma Tract 7_Grandma Tract 7,168.096,160.992,195.071,0.158,231.934,0.138,308.423,Pass,1.106,0.247,0.8,1.5
MDC,MDC_Matney 7_Matney 7,168.196,161.093,195.17,0.098,232.06,0.138,318.537,Pass,0.974,0.207,0.7,1.3
MDC,MDC_Grandma Tract 11_Grandma Tract 11,168.244,161.144,195.225,0.055,232.121,0.138,324.586,Pass,0.915,0.218,0.6,1.3
PIX,PIX_3A_3A,64.026,61.564,75.75,75.75,91.525,0.155,29.989,Pass,252.596,30.712,205.29,305.2
PIX,PIX_2_2,111.081,106.993,131.45,55.7,158.775,0.155,50.063,Pass,277.468,33.55,226.195,334.71
PIX,PIX_3_3,154.137,148.36,181.91,50.46,219.363,0.153,69.632,Pass,257.856,30.813,210.5,310.8
PIX,PIX_8B_8B,194.695,187.973,229.803,47.893,276.694,0.153,87.419,Pass,269.254,31.666,220.7,323.41
PIX,PIX_2A_2A,229.276,221.417,270.462,40.659,325.328,0.152,109.85,Pass,181.268,21.393,148.4,218.505
PIX,PIX_4_4,261.64,252.691,307.999,37.537,369.619,0.151,127.911,Pass,207.827,22.497,172.8,246.205
PIX,PIX_1_1,294.785,284.041,344.81,36.811,411.711,0.145,184.95,Pass,64.538,7.003,53.8,76.6
PIX,PIX_6_6,325.703,314.126,380.202,35.392,454.733,0.143,231.188,Pass,76.541,11.78,58.8,98.105
PIX,PIX_7A_7A,353.594,340.869,413.031,32.83,494.297,0.144,243.85,Pass,259.279,31.054,211.3,312.01
PIX,PIX_9B_9B,380.698,366.916,444.56,31.529,531.775,0.144,257.344,Pass,233.649,26.437,193.1,278.705
PIX,PIX_9A_9A,406.725,391.877,474.674,30.114,567.29,0.143,269.691,Pass,243.898,27.337,201.7,291.405
PIX,PIX_7B_7B,423.072,407.357,491.828,17.154,586.474,0.14,281.911,Pass,140.385,44.822,78.8,222.015
PIX,PIX_4A_4A,434.81,417.905,505.349,13.521,602.247,0.14,300.182,Pass,74.001,24.138,40.5,119.005
PIX,PIX_8A_8A,442.935,424.803,513.955,8.606,611.799,0.138,311.808,Pass,74.025,24.504,40.795,119.4
SLW,SLW_LIC_57,15.038,14.092,19.358,19.358,25.75,0.223,28.643,Pass,67.582,12.404,49.2,89.9
SLW,SLW_Lewis 6_22,21.266,19.819,27.891,8.533,38.104,0.238,52.35,Pass,35.995,14.643,17.6,63.6
SLW,SLW_Lewis 1_22,22.918,21.369,29.935,2.045,40.818,0.234,64.298,Pass,17.112,3.776,12.2,24.2
SLW,SLW_Beach Lake 1_Beach Lake 1,23.956,22.346,31.076,1.141,42.13,0.229,80.761,Pass,6.931,1.403,4.9,9.5
