"","subunit_ID","p_wg_a.Low","p_wg_b.Med","p_wg_c.High","p_st_a.Low","p_st_b.Med","p_st_c.High","p_noFood"
"28","MDC_Gadwall_Gadwall",0.123289812789277,0.0274682128746763,0,0.0856141889290912,0,0.293799054293115,0.46982873111384
"29","MDC_Grandma Tract 10_Grandma Tract 10",0.197690291717059,0.00674526423799986,0,0,0,0,0.795564444044942
"30","MDC_Grandma Tract 11_Grandma Tract 11",0,0,0,0,0,0,1
"31","MDC_Grandma Tract 2_Grandma Tract 2",0.15391097071649,0.0081870572608081,0.201693059278392,0,0,0.111705186893332,0.524503725850979
"32","MDC_Grandma Tract 3_Grandma Tract 3",0,0,0.885398014706271,0,0,0,0.114601985293729
"33","MDC_Grandma Tract 4_Grandma Tract 4",0.163518045728876,0.0460157042292326,0.0954904251900402,0.00308831075259906,0,0,0.691887514099252
"34","MDC_Grandma Tract 7_Grandma Tract 7",0,0,0,0,0,0,1
"35","MDC_Grandma Tract 8_Grandma Tract 8",0.131567543089741,0.152659265287233,0,0,0,0,0.715773191623026
"36","MDC_Grandma Tract 9_Grandma Tract 9",0.525047789825408,0.135219111992814,0,0,0,0,0.339733098181778
"37","MDC_House Field_House Field",0.00312451674317955,0,0,0,0.136877032553063,0.730010822032735,0.129987628671022
"38","MDC_J Pond_J Pond",0.409131874390172,0.00238994952450978,0.460234216187336,0,0.00106133602337557,0.0555216767165174,0.0716609471580898
"39","MDC_Matney 3_Matney 3",0,0,0,0,0.0294117647058824,0.455882352941176,0.514705882352941
"40","MDC_Matney 4 North_Matney 4 North",0.00593502500625181,0.27045279728422,0.00356101500375109,0.135650328999699,0.00445126875468886,0.484074342129106,0.0958752228222833
"41","MDC_Matney 4 South_Matney 4 South",0.209735525932116,0.338626716318676,0.0702272000071914,0,0,0.345669756552985,0.0357408011890315
"42","MDC_Matney 6_Matney 6",0.435156559440848,0.012039849536135,0,0,0.00306276874164838,0.528195828374601,0.0215449939067679
"43","MDC_Matney 7_Matney 7",0,0,0,0,0,0,1
"44","MDC_Matney 8_Matney 8",0.0401616300716871,0.00279506993242798,0.773981526694516,0,0.159929834892983,0,0.0231319384083868
"45","MDC_South Dam Pond_South Dam Pond",0,0,0,0.00645479080929478,0.385675110772107,0.0951892941988433,0.512680804219755
"46","MDC_Upper Goose Pond_Upper Goose Pond",0,0,0,0.249897045748884,0.106472791652529,0.555078020243226,0.0885521423553613
"47","PIX_1_1",0,0,0,0.124527233612734,0.088242382688096,0.159999493585874,0.627230890113296
"48","PIX_2_2",0.0641538586497869,0.00675007116792377,0,0.060617552681136,0.0603011515531066,0.753581883724638,0.0545954822234087
"49","PIX_2A_2A",6.65620969058324e-05,0.00330286099451932,0,0.099199877619346,0.0661254470305732,0.499595439413153,0.331709812845503
"50","PIX_3_3",0.0742325686951607,0,0.0456590925845525,0.0623773622334839,0.0619140436004562,0.702147681900803,0.0536692509855441
"51","PIX_3A_3A",0.137147714952406,0,0.0248845745807742,0.107100499823741,0,0.678538853264886,0.0523283573781925
"52","PIX_4_4",0.0491363186450793,0.0919178748502414,0,0.100946276295024,0.232820015223549,0.509915647485104,0.0152638675010033
"53","PIX_4A_4A",0.00174520069808028,0.0277777777777778,0,0.0277777777777778,0.176413255360624,0.231142136901299,0.535143851484441
"54","PIX_6_6",0,0,0,0.255613769537637,0.0727817271843785,0.0992080620489343,0.57239644122905
"55","PIX_7A_7A",0,0,0,0.0990775829167535,0.0984359001706074,0.694898616575123,0.107587900337516
"56","PIX_7B_7B",0,0,0.855495263162626,0.0254985005585099,0.050479055455187,0.0086029678319705,0.0599242129917067
"57","PIX_8A_8A",0,0,0,0,0.281358281358281,0.192082771030139,0.526558947611579
"58","PIX_8B_8B",0.00589690454475899,0.00589690454475899,0,0.0390698943185474,0.166658500525836,0.709870236037624,0.0726075600284751
"59","PIX_9A_9A",0.0467098983091183,0,0.0468818998833961,0,0.23656404078168,0.613162697765796,0.056681463260009
"60","PIX_9B_9B",0.0447113469942673,0,0,0.089366409430314,0.223721778546378,0.588413214141447,0.0537872508875938
"61","SLW_Beach Lake 1_Beach Lake 1",0.00271584885608812,0,0,0.151580135139768,0.0989136607543057,0,0.746790355249838
"62","SLW_Beach Lake 3_Beach Lake 3",0,0,0,0.199999997,0.199999997,0.300000003,0.300000003
"63","SLW_Lewis 1_22",0.197513849801566,0,0,0.0790496248050007,0.0715039722789721,0.0332120852535892,0.618720467860872
"64","SLW_Lewis 6_22",0.594178592164192,0,0,0,0.144001144715932,0,0.261820263119876
"65","SLW_LIC_57",0.10017958406948,0,0,0.393894098977285,0.0056807263814959,0.293534936513334,0.206710654058406
