"","LIT","Unit_Name","Subunit_Name","subunit_ID","st_g_m2_a.Low","st_g_m2_b.Med","st_g_m2_c.High","wg_g_m2_a.Low","wg_g_m2_b.Med","wg_g_m2_c.High","wg_g_m2","st_g_m2","tot_g_m2","area_ha","tot_mass_m2_var","CI80lwr","CI80upr","st_mass_m2_var","CI80lwr_st","CI80upr_st","wg_mass_m2_var","CI80lwr_wg","CI80upr_wg"
"12","KRN","5A","5A-4","KRN_5A_5A-4",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,104.507794105983,104.507794105983,18.9291342145749,371.779729736721,79.797441696701,129.218146515265,371.779729736721,79.797441696701,129.218146515265,0,0,0
"13","KRN","5A","5A-6","KRN_5A_5A-6",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,172.213470353919,172.213470353919,14.1035457125506,239.009307864669,152.400778153726,192.026162554112,239.009307864669,152.400778153726,192.026162554112,0,0,0
"14","KRN","5A","5A-7","KRN_5A_5A-7",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,112.086316727736,112.086316727736,19.6412378421053,428.837806283444,85.5474350389965,138.625198416475,428.837806283444,85.5474350389965,138.625198416475,0,0,0
"15","KRN","5B","5B-1","KRN_5B_5B-1",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,149.563317743031,149.563317743031,9.23024375303644,407.855962366803,123.681814740741,175.444820745321,407.855962366803,123.681814740741,175.444820745321,0,0,0
"16","KRN","5B","5B-2","KRN_5B_5B-2",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,61.2975976397303,61.2975976397303,11.935125437247,467.094292981613,33.6002382663985,88.9949570130622,467.094292981613,33.6002382663985,88.9949570130622,0,0,0
"17","KRN","5B","5B-3","KRN_5B_5B-3",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,110.01890512831,110.01890512831,23.2972509311741,1280.94659581487,64.1517718394329,155.886038417186,1280.94659581487,64.1517718394329,155.886038417186,0,0,0
"18","KRN","5B","5B-5","KRN_5B_5B-5",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,24.3138230134773,24.3138230134773,20.3027789230769,17.5772634349128,18.9408864091752,29.6867596177794,17.5772634349128,18.9408864091752,29.6867596177794,0,0,0
"19","KRN","5B","5B-6","KRN_5B_5B-6",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,92.5064075434891,92.5064075434891,12.9507504534413,149.628473037646,76.8301204864413,108.182694600537,149.628473037646,76.8301204864413,108.182694600537,0,0,0
"20","KRN","5B","5B-7","KRN_5B_5B-7",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,198.763254121362,198.763254121362,12.0585314453441,310.119376460443,176.194866284814,221.33164195791,310.119376460443,176.194866284814,221.33164195791,0,0,0
"21","KRN","5B","5B-8","KRN_5B_5B-8",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,122.032067126006,122.032067126006,19.3648213117409,274.564233866168,100.796783444901,143.267350807111,274.564233866168,100.796783444901,143.267350807111,0,0,0
"22","KRN","6A","6A-1","KRN_6A_6A-1",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,69.3948778894948,69.3948778894948,21.8329741659919,130.424072613772,54.7591285072288,84.0306272717608,130.424072613772,54.7591285072288,84.0306272717608,0,0,0
"23","KRN","6A","6A-2","KRN_6A_6A-2",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,47.9790142435318,47.9790142435318,20.2451643076923,129.544703930957,33.3926882032171,62.5653402838465,129.544703930957,33.3926882032171,62.5653402838465,0,0,0
"24","KRN","6A","6A-4","KRN_6A_6A-4",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,83.5927701226102,83.5927701226102,11.5020235425101,46.6919970997714,74.8357305869615,92.3498096582589,46.6919970997714,74.8357305869615,92.3498096582589,0,0,0
"25","KRN","6A","6A-5","KRN_6A_6A-5",32.9261314290472,117.652350154711,299.523038301614,0,0,0,0,95.9057117973537,95.9057117973537,13.7868232631579,89.7825999837001,83.7625390184273,108.04888457628,89.7825999837001,83.7625390184273,108.04888457628,0,0,0
"26","MDC","Duck Ponds","Duck Ponds","MDC_Duck Ponds_Duck Ponds",4.72206534275276,112.841826390822,156.911697599534,0.986027344751279,2.95559824344883,7.65770673589205,0,130.2879561371,130.2879561371,71.7262952631579,1182.35834752743,86.221244216219,174.35466805798,1182.35834752743,86.221244216219,174.35466805798,0,0,0
"27","MDC","Flournoy Pond","Flournoy Pond","MDC_Flournoy Pond_Flournoy Pond",4.72206534275276,112.841826390822,156.911697599534,0.986027344751279,2.95559824344883,7.65770673589205,0,73.7087750902004,73.7087750902004,21.7357757327935,459.53755077348,46.2363759195605,101.18117426084,459.53755077348,46.2363759195605,101.18117426084,0,0,0
"28","MDC","Gadwall","Gadwall","MDC_Gadwall_Gadwall",4.72206534275276,112.841826390822,156.911697599534,0.986027344751279,2.95559824344883,7.65770673589205,0.202752128462565,46.5047841566605,46.707536285123,26.0387056477733,223.390842510866,27.5531267583689,65.8619458118771,223.386860012342,27.3505453682115,65.6590229451095,0.00398249852378844,0.121877202287378,0.283627054637753
"29","MDC","Grandma Tract 10","Grandma Tract 10","MDC_Grandma Tract 10_Grandma Tract 10",4.72206534275276,112.841826390822,156.911697599534,0.986027344751279,2.95559824344883,7.65770673589205,0.214864324558308,0,0.214864324558308,13.9967692793522,0.00822124473948385,0.0986646600974612,0.331063989019154,0,0,0,0.00822124473948385,0.0986646600974612,0.331063989019154
"30","MDC","Grandma Tract 11","Grandma Tract 11","MDC_Grandma Tract 11_Grandma Tract 11",4.72206534275276,112.841826390822,156.911697599534,0.986027344751279,2.95559824344883,7.65770673589205,0,0,0,6.05161393927125,0,0,0,0,0,0,0,0,0
"31","MDC","Grandma Tract 2","Grandma Tract 2","MDC_Grandma Tract 2_Grandma Tract 2",4.72206534275276,112.841826390822,156.911697599534,0.986027344751279,2.95559824344883,7.65770673589205,1.72046437646154,17.527850506106,19.2483148825675,8.49686092712551,95.9942786629693,6.6920993987196,31.8045303664155,95.6452263899228,4.99448412855119,30.0612168836608,0.349052273046469,0.963315432857046,2.47761332006604
"32","MDC","Grandma Tract 3","Grandma Tract 3","MDC_Grandma Tract 3_Grandma Tract 3",4.72206534275276,112.841826390822,156.911697599534,0.986027344751279,2.95559824344883,7.65770673589205,6.78011834116166,0,6.78011834116166,12.4870070121457,1.12151332677551,5.42293567322575,8.13730100909758,0,0,0,1.12151332677551,5.42293567322575,8.13730100909758
"33","MDC","Grandma Tract 4","Grandma Tract 4","MDC_Grandma Tract 4_Grandma Tract 4",4.72206534275276,112.841826390822,156.911697599534,0.986027344751279,2.95559824344883,7.65770673589205,1.02847487123091,0.0145832051724987,1.04305807640341,11.9330189838057,0.465064601501314,0.169095718576937,1.91702043422988,0.0301935533222588,-0.208102940510028,0.237269350855026,0.434871048179055,0.183358853503956,1.87359088895786
"34","MDC","Grandma Tract 7","Grandma Tract 7","MDC_Grandma Tract 7_Grandma Tract 7",4.72206534275276,112.841826390822,156.911697599534,0.986027344751279,2.95559824344883,7.65770673589205,0,0,0,14.2761860526316,0,0,0,0,0,0,0,0,0
"35","MDC","Grandma Tract 8","Grandma Tract 8","MDC_Grandma Tract 8_Grandma Tract 8",4.72206534275276,112.841826390822,156.911697599534,0.986027344751279,2.95559824344883,7.65770673589205,0.580928651497362,0,0.580928651497362,11.1704126963563,0.0230687940445933,0.386281285403699,0.775576017591025,0,0,0,0.0230687940445933,0.386281285403699,0.775576017591025
"36","MDC","Grandma Tract 9","Grandma Tract 9","MDC_Grandma Tract 9_Grandma Tract 9",4.72206534275276,112.841826390822,156.911697599534,0.986027344751279,2.95559824344883,7.65770673589205,0.917364847955745,0,0.917364847955745,11.1571389271255,0.118851186030538,0.475552504141352,1.35917719177014,0,0,0,0.118851186030538,0.475552504141352,1.35917719177014
"37","MDC","House Field","House Field","MDC_House Field_House Field",4.72206534275276,112.841826390822,156.911697599534,0.986027344751279,2.95559824344883,7.65770673589205,0.00308085894790824,129.992691695432,129.99577255438,25.4003763036437,1478.22603499957,80.7230557661646,179.268489342595,1478.21841973764,80.7201018245889,179.265281566275,0.00761526193320794,-0.108754338390698,0.114916056286515
"38","MDC","J Pond","J Pond","MDC_J Pond_J Pond",4.72206534275276,112.841826390822,156.911697599534,0.986027344751279,2.95559824344883,7.65770673589205,3.93481760376038,8.83176364245336,12.7665812462137,22.8373790688259,179.72752831727,-4.414218915781,29.9473814082085,179.194448228399,-8.32353807763338,25.9870653625401,0.533080088871031,2.99912689674894,4.87050831077183
"39","MDC","Matney 3","Matney 3","MDC_Matney 3_Matney 3",4.72206534275276,112.841826390822,156.911697599534,0.986027344751279,2.95559824344883,7.65770673589205,0,74.852151152459,74.852151152459,12.0109916072874,422.859863355672,48.4988928952889,101.205409409629,422.859863355672,48.4988928952889,101.205409409629,0,0,0
"40","MDC","Matney 4 North","Matney 4 North","MDC_Matney 4 North_Matney 4 North",4.72206534275276,112.841826390822,156.911697599534,0.986027344751279,2.95559824344883,7.65770673589205,0.832471118117847,77.0997658011938,77.9322369193117,8.29486956275304,462.583559567599,50.3689388020189,105.495535036604,462.514196641685,49.5385342755911,104.660997326797,0.0693629259140919,0.494950904084322,1.16999133215137
